,schID,Year,leaID,School_Name,School_level,EIN1,Org_name1,Org_code1,Rev1,EIN2,Org_name2,Org_code2,Rev2,EIN3,Org_name3,Org_code3,Rev3,EIN4,Org_name4,Org_code4,Rev4,EIN5,Org_name5,Org_code5,Rev5,EIN6,Org_name6,Org_code6,Rev6,EIN7,Org_name7,Org_code7,Rev7,EIN8,Org_name8,Org_code8,Rev8,TotRev,ANYbig,ANYhuge,ANYenormous,ANYenormous2,ANYalive,PTAalive,PTOalive,BOOSTalive,OTHERalive
8472,1,2016,3700030,Alexander Wilson Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9718,1,2017,3700030,Alexander Wilson Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11033,1,2018,3700030,Alexander Wilson Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12378,1,2019,3700030,Alexander Wilson Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13689,1,2020,3700030,Alexander Wilson Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15028,1,2021,3700030,Alexander Wilson Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2016,3700030,altamahaw ossipee elem,primary,561682429.0,altamahaw ossipee school pta,1.0,34880.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,34880.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1429,2,2017,3700030,altamahaw ossipee elem,primary,561682429.0,altamahaw ossipee school pta,1.0,34880.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,34880.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2819,2,2018,3700030,altamahaw-ossipee elementary,primary,561682429.0,altamahaw ossipee school pta,1.0,33587.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,33587.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4187,2,2019,3700030,altamahaw-ossipee elementary,primary,561682429.0,altamahaw ossipee school pta,1.0,32282.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,32282.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5602,2,2020,3700030,altamahaw-ossipee elementary,primary,561682429.0,altamahaw ossipee school pta ,1.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7008,2,2021,3700030,altamahaw-ossipee elementary,primary,561682429.0,altamahaw ossipee school pta PTA North Carolina Congress,1.0,28067,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,0.0,28067.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8507,3,2016,3700030,B Everett Jordan Elem,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,3,2017,3700030,B Everett Jordan Elem,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11077,3,2018,3700030,B. Everett Jordan Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12419,3,2019,3700030,B. Everett Jordan Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13729,3,2020,3700030,B. Everett Jordan Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15065,3,2021,3700030,B. Everett Jordan Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2016,3700012,c m eppes middle,middle,561792097.0,c m eppes middle school pta,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1430,4,2017,3700012,c m eppes middle,middle,561792097.0,c m eppes middle school pta,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2820,4,2018,3700012,c m eppes middle,middle,561792097.0,c m eppes middle school pta,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4188,4,2019,3700012,c m eppes middle,middle,561792097.0,c m eppes middle school pta,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5603,4,2020,3700012,c m eppes middle,middle,561792097.0,c m eppes middle school pta ,1.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7009,4,2021,3700012,c m eppes middle,middle,561792097.0,c m eppes middle school pta ,1.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,5,2016,3700030,e m yoder elementary,primary,561899596.0,em yoder elementary school pta,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10011,5,2017,3700030,E M Yoder Elementary,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,5,2018,3700030,e m yoder elementary,primary,561899596.0,em yoder elementary school pta,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4189,5,2019,3700030,e m yoder elementary,primary,561899596.0,em yoder elementary school pta,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5604,5,2020,3700030,e m yoder elementary,primary,561899596.0,em yoder elementary school pta ,1.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7010,5,2021,3700030,e m yoder elementary,primary,561899596.0,em yoder elementary school pta ,1.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,6,2016,3700030,eastern alamance high,high,383774865.0,eastern alamance band boosters inc,3.0,25502.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,25502.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1431,6,2017,3700030,eastern alamance high,high,383774865.0,eastern alamance band boosters inc,3.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2822,6,2018,3700030,eastern alamance high,high,383774865.0,eastern alamance band boosters inc,3.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4190,6,2019,3700030,eastern alamance high,high,383774865.0,eastern alamance band boosters inc,3.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5605,6,2020,3700030,eastern alamance high,high,383774865.0,eastern alamance band boosters inc ,3.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7011,6,2021,3700030,eastern alamance high,high,383774865.0,eastern alamance band boosters inc ,3.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,7,2016,3700030,edwin m holt elementary,primary,270868962.0,e m holt elementary school parent teacher organization,2.0,32655.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,32655.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1432,7,2017,3700030,edwin m holt elementary,primary,270868962.0,e m holt elementary school parent teacher organization,2.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2823,7,2018,3700030,edwin m holt elementary,primary,270868962.0,e m holt elementary school parent teacher organization,2.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4191,7,2019,3700030,edwin m holt elementary,primary,270868962.0,e m holt elementary school parent teacher organization,2.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5606,7,2020,3700030,edwin m holt elementary,primary,270868962.0,e m holt elementary school parent teacher organization ,2.0,0,,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
